jeudi;vendredi;samedi;dimanche
Guns N' Roses;Iron Maiden;Volbeat;Ozzy Osbourne
Jonathan Davis;Killswitch Engage;Rise Against;Hollywood Vampires 
Black Stone Cherry;Powerwolf;Arch Enemy;Limp Bizkit
The Pink Slips;Shinedown;Skillet;Billy Talent
Ghost;Avatar;P.O.D.;Eisbrecher
Iced Earth;Tyler Bryant & The Shakedown;Vixen;Vandenberg's MoonKings
Doro Pesch the voice of WARLOCK celebrating Triumph and Agony;Parkway Drive;Marilyn Manson;A Perfect Circle
Goe Vur In Den Otto;Avenged Sevenfold;Megadeth;Judas Priest
Kataklysm;Hollywood Undead;Kreator;Bullet For My Valentine
Heilung;Tremonti;Accept;Body Count Feat. Ice-T
Dool;Stick To Your Guns;Asking Alexandria;Powerflo
Toxic Shock;Diablo Blvd;Seether;Pro-Pain
Moments;Ayreon;Backyard Babies;Meshuggah
Signs Of Algorithm;Watain;Bloodbath;Dead Cross
Madball;Vader;At The Gates;Corrosion Of Conformity
Fleddy Melculy;Septicflesh;Marduk;Lacuna Coil
Bury Tomorrow;Carach Angren;Exodus;Carnivore A.D.
Cancer Bats;Arkona;Amaranthe;Shining (SE)
Follow The Cipher;Akercocke;Asphyx;Týr
DJ Carl;Galactic Empire;Batushka;Mantar
Hats Off To Led Zeppelin;AC/DC UK;Bölzer;DJ Rock The Fox
Purpendicular;Present Danger;Subliminal Verses;The Bloody Beetroots Live
Hats Off To Led Zeppelin;Neurosis;Living Theory;Perturbator 
Purpendicular;Wolves In The Throne Room;Baroness;Skindred
;The Darkness;Sons Of Apollo;Tesseract
;Pist*On;Kadavar;The Contortionist
;In This Moment;Planet Of Zeus;Eskimo Callboy
;Zeal & Ardor;The Vintage Caravan;Ego Kill Talent
;The Raven Age;Thundermother;Thy Art Is Murder
;Savage Messiah;Stone Broken;Emmure
;Less Than Jake;Underoath;Blessthefall
;Anti-Flag;Miss May I;Knocked Loose
;L7;Crossfaith;Modern Life Is War
;Silverstein;Stray From The Path;Employed to Serve
;Culture Abuse;Boston Manor;DJ Carl
;DJ Carl;DJ Carl;Eternal Run For Cover
;AmÆzing Snäke;System Pilot;Eternal Run For Cover
;;System Pilot;Eternal Run For Cover
;;System Pilot;Eternal Run For Cover
;;System Pilot;
